Algorithm;Problem;CPU Time [ms];System Time [ms];User Time [ms];Clock Time [ms];Optimize counter;Optimize/sec (CPU) [1/s];Optimize/sec (Clock) [1/s];Exception;Best solution;Best solution (human readable);Depth;Fitness;Operations
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9350];609;15;593;618;30;49;48;none;[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1];0;2603.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9351];171;1;172;178;30;175;168;none;[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0];[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0];0;3148.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9352];140;1;141;153;30;214;196;none;[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1];[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1];0;3132.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9353];156;1;156;157;30;192;191;none;[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1];[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1];0;3745.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9354];156;1;156;162;30;192;185;none;[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0];[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0];0;3485.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9355];140;1;140;145;30;214;206;none;[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1];[0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1];0;3341.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9356];172;1;172;173;30;174;173;none;[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1];[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1];0;3480.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9357];172;1;171;173;30;174;173;none;[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1];0;3145.0;Empty knapsack created (random)
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9358];187;1;187;182;30;160;164;none;[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1];[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1];0;3521.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9359];156;1;156;157;30;192;191;none;[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];0;3409.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9360];172;1;172;177;30;174;169;none;[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0];0;3016.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9361];172;15;156;177;30;174;169;none;[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0];[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0];0;3402.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9362];202;16;187;190;30;148;157;none;[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0];[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0];0;2875.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9363];172;1;172;172;30;174;174;none;[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0];[1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0];0;2837.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9364];172;1;171;178;30;174;168;none;[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1];[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1];0;2553.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9365];171;1;172;167;30;175;179;none;[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1];[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1];0;2842.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9366];141;1;140;148;30;212;202;none;[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0];[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0];0;2931.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9367];141;1;141;145;30;212;206;none;[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0];[1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0];0;3225.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9368];171;1;171;165;30;175;181;none;[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1];[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1];0;3175.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9369];141;1;141;152;30;212;197;none;[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1];[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1];0;3709.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9370];171;1;171;173;30;175;173;none;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0];0;3639.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9371];140;1;140;153;30;214;196;none;[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1];[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1];0;3440.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9372];125;1;125;155;30;240;193;none;[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1];0;3232.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9373];156;1;156;150;30;192;200;none;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0];0;3156.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9374];156;1;156;160;30;192;187;none;[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1];[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1];0;2991.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9375];172;1;172;172;30;174;174;none;[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1];[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1];0;3029.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9376];156;1;156;165;30;192;181;none;[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1];[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1];0;3423.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9377];156;1;156;155;30;192;193;none;[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0];[1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0];0;3401.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9378];156;1;156;157;30;192;191;none;[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1];[0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1];0;3430.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9379];156;1;156;147;30;192;204;none;[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1];[1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1];0;3071.0;Unknown operation
MyGeneticAlgorithm [p=50, m=0.4];Knapsack [file=knap_30.inst.dat,id=9380];140;1;140;135;30;214;222;none;[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0];[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0];0;312.0;Unknown operation
